0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,label
0,1,0,0,0,0,0,0,1,0.5,0.525424,0.516304,0.513661,0.965675,0.995141,0.911111,0.421965,0.625,0.272727,0,0,1,0,0,0,0.983051,0.983051,1,0.534261745,0,0,0,0,1,1,1,0,0,0,0,0,0.0625,0,0,1,0,0
0,0,0,1,0,0,0.710843,0,1,0.74,0.525424,0.516304,0.513661,0.985557,0.994759,0,0.404624,0.583333,0.386364,0,0,0,0,1,0,0.983051,0.983051,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.1875,0,0,0,1,0
0,0,0,1,0,0,0,0,0,0.5,0.525424,0.516304,0.513661,0.971948,0.999979,0.872222,0.421965,0.583333,0.522727,0,0,0,1,0,0,0.966102,0.966102,1,0.53308328,0,0,0,0,1,1,1,0,0,0,0,0,0.0625,0,0,1,0,0
0,1,0,0,0,0,0,0,0,0,0.525424,0.516304,0.513661,0.970791,0.988852,0.9,0.421965,0.416667,0.204545,0,0,1,0,0,0,0.991525,1,1,0.79642989,0,0,0,0,1,1,1,0,0,0,1,0,0.0625,0,0,1,0,0
0,1,0,0,0,0,0.759036,0,1,0.5,0.525424,0.516304,0.513661,0.987217,0.993183,0.905556,0.421965,0.583333,0.295455,0,1,0,0,0,0,0.991525,0.991525,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0.375,0,1,0,0,0
0,0,0,0,1,0,0,1,0,0.5,0.525424,0.516304,0.513661,0.953459,0.986468,0.905556,0.421965,0.583333,0.659091,0,0,0,0,1,0,0.949153,0.957627,1,0.879491263,0,0,0,0,1,1,1,0,0,0,0,1,0.125,1,0,0,0,0
0,0,0,1,0,0,0.36747,0,1,0.485,0.525424,0.516304,0.513661,0.972207,0.988782,0.905556,0.421965,0.708333,0.772727,0,0,0,0,1,0,0.847458,0.855932,1,0.092099058,0,0,0,0,1,1,1,0,0,0,1,1,0.125,0,1,0,0,0
0,0,0,1,0,0,0,0,0,0,0.525424,0.516304,0.513661,0.971949,0.99998,0.861111,0.421965,0.583333,0.386364,0,0,0,1,0,0,0.974576,0.974576,1,0.79289345,0,0,0,0,1,1,1,0,0,0,1,0,0.0625,0,0,1,0,0
0,0,0,1,0,0,0,0,1,0.546448,0.546584,0.537037,0.539877,0,0,0.958824,0.460123,0.75,0.2,0,0,0,1,0,0,0.991525,0.983193,1,0.548701336,0,0,0,0,1,1,1,0,0,0,0,0,0.111111,0,0,1,0,0
0,0,0,1,0,0,0,0,1,0.5,0.525424,0.516304,0.513661,0.971945,0.999981,0.866667,0.416185,0.625,0.386364,0,0,0,1,0,0,0.974576,0.983051,1,0.531955007,0,0,0,0,1,1,1,0,0,0,0,0,0.0625,0,0,1,0,0
0,0,0,1,0,0,0,0,1,0.5,0.525424,0.516304,0.513661,0.971811,0.988645,0.911111,0.427746,0.583333,0.477273,0,0,0,0,1,0,0.966102,0.966102,1,0.535406748,0,0,0,0,1,1,1,0,0,0,0,1,0.125,0,1,0,0,0
0,1,0,0,0,0,0.668675,0,1,0.42,0.525424,0.516304,0.513661,0.98717,0.993211,0.905556,0.445087,0.583333,0.409091,0,1,0,0,0,0,0.974576,0.974576,1,0.060408081,0,0,0,0,0,0,0,0,0,0,1,1,0.1875,0,1,0,0,0
0,0,0,1,0,0,0,0,1,0.5,0.525424,0.516304,0.513661,0.994416,0.991169,0.894444,0.421965,0.583333,0.340909,0,0,0,1,0,0,0.957627,0.957627,1,0.537763678,0,0,0,0,1,1,1,0,0,0,0,0,0.0625,0,0,1,0,0
0,0,0,1,0,0,0,0,1,0.5,0.525424,0.516304,0.513661,0.971871,0.999992,0.883333,0.421965,0.625,0.477273,0,0,0,1,0,0,0.966102,0.974576,1,0.856086138,0,0,0,0,1,1,1,0,0,0,0,0,0.125,0,0,1,0,0
0,0,0,1,0,0,0,1,0,0.546448,0.546584,0.537037,0.539877,0.970755,0.988871,0.964706,0.460123,0.666667,0.566667,0,0,0,1,0,0,0.983051,0.97479,1,0.532057482,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0
0,0,0,1,0,0,0.903614,0,1,0.655,0.655367,0.630435,0.513661,0.984285,0.996913,0.883333,0.676301,0.625,0.5,0,0,0,1,0,0,0.957627,0.957627,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0.125,0,0,1,0,0
0,0,0,1,0,0,0,0,0,0.5,0.525424,0.516304,0.513661,0.965663,0.995138,0.916667,0.421965,0.625,0.318182,0,0,0,1,0,0,0.974576,0.974576,1,0.528436344,0,0,0,0,1,1,1,0,0,0,0,1,0.0625,0,0,1,0,0
0,0,0,1,0,0,0.120482,0,1,0.715,0.774011,0.755435,0.754098,0.991939,0.990326,0.911111,0.49711,0.583333,0.431818,0,0,0,0,1,0,0.957627,0.957627,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0.25,0,1,0,0,0
0,0,0,1,0,0,0,0,0,0.5,0.525424,0.516304,0.513661,0.991932,0.990319,0.911111,0.427746,0.625,0.25,0,0,0,0,1,0,0.983051,0.983051,1,0.74265028,0,0,0,0,1,1,1,0,0,0,0,1,0.125,1,0,0,0,0
0,0,0,1,0,0,0.174699,0,1,0.425,0.525424,0.516304,0.513661,0.97955,0.997766,0.894444,0.421965,0.708333,0.454545,0,0,0,0,1,0,0.855932,0.855932,1,0.176287658,0,0,0,0,1,1,1,0,0,0,1,1,0.1875,0,0,0,1,0
